Timestamp;UCT - DSchool - Basics - UCT - DSchool Load Power [W] - P_LOAD;UCT - DSchool - Basics - UCT - DSchool Solar [W] - P_SOLAR;UCT - DSchool - Basics - UCT - DSchool Incomer Power [W] - P_INCOMER
2023-07-01 00:00:00;;;
2023-07-01 01:00:00;46965.155;0.000;46965.155
2023-07-01 02:00:00;48220.469;0.000;48220.469
2023-07-01 03:00:00;47876.658;0.000;47876.658
2023-07-01 04:00:00;48147.381;0.000;48147.381
2023-07-01 05:00:00;47774.169;0.000;47774.169
2023-07-01 06:00:00;47855.463;0.000;47855.463
2023-07-01 07:00:00;48038.047;0.000;48038.047
2023-07-01 08:00:00;46883.606;0.058;46883.549
2023-07-01 09:00:00;47162.451;492.700;46669.751
2023-07-01 10:00:00;46422.259;5049.604;41372.655
2023-07-01 11:00:00;46942.182;15740.176;31202.006
2023-07-01 12:00:00;42991.649;23338.473;19653.176
2023-07-01 13:00:00;41855.336;25807.544;16047.792
2023-07-01 14:00:00;42364.665;27580.129;14784.536
2023-07-01 15:00:00;42083.952;24356.867;17727.086
2023-07-01 16:00:00;42258.113;14512.579;27745.534
2023-07-01 17:00:00;39461.842;3507.667;35954.175
2023-07-01 18:00:00;40310.229;121.871;40188.358
2023-07-01 19:00:00;43236.247;0.000;43236.247
2023-07-01 20:00:00;45092.750;0.000;45092.750
2023-07-01 21:00:00;47666.689;0.000;47666.689
2023-07-01 22:00:00;47890.656;0.000;47890.656
2023-07-01 23:00:00;47033.954;0.000;47033.954
2023-07-02 00:00:00;47558.104;0.000;47558.104
2023-07-02 01:00:00;47407.238;0.000;47407.238
2023-07-02 02:00:00;46958.739;0.000;46958.739
2023-07-02 03:00:00;48090.624;0.000;48090.624
2023-07-02 04:00:00;47003.372;0.000;47003.372
2023-07-02 05:00:00;47952.370;0.000;47952.370
2023-07-02 06:00:00;47989.700;0.000;47989.700
2023-07-02 07:00:00;47323.264;0.000;47323.264
2023-07-02 08:00:00;49859.318;1.618;49857.700
2023-07-02 09:00:00;45774.599;740.828;45033.772
2023-07-02 10:00:00;44678.570;5602.836;39075.735
2023-07-02 11:00:00;40775.983;15777.772;24998.211
2023-07-02 12:00:00;41055.900;23165.526;17890.375
2023-07-02 13:00:00;40518.368;25554.587;14963.781
2023-07-02 14:00:00;40566.993;27052.876;13514.117
2023-07-02 15:00:00;40470.852;24232.933;16237.919
2023-07-02 16:00:00;40070.400;14551.529;25518.871
2023-07-02 17:00:00;37003.649;3617.532;33386.118
2023-07-02 18:00:00;39235.167;154.782;39080.386
2023-07-02 19:00:00;44233.417;0.000;44233.417
2023-07-02 20:00:00;44665.962;0.000;44665.962
2023-07-02 21:00:00;46988.422;0.000;46988.422
2023-07-02 22:00:00;;;
2023-07-02 23:00:00;46318.049;0.000;46318.049
2023-07-03 00:00:00;44001.172;0.000;44001.172
2023-07-03 01:00:00;44986.945;0.000;44986.945
2023-07-03 02:00:00;44621.242;0.000;44621.242
2023-07-03 03:00:00;45340.763;0.000;45340.763
2023-07-03 04:00:00;45052.495;0.000;45052.495
2023-07-03 05:00:00;46008.172;0.000;46008.172
2023-07-03 06:00:00;46045.523;0.000;46045.523
2023-07-03 07:00:00;45859.476;0.000;45859.476
2023-07-03 08:00:00;53865.684;0.024;53865.661
2023-07-03 09:00:00;55111.546;1357.633;53753.912
2023-07-03 10:00:00;54636.899;5524.168;49112.731
2023-07-03 11:00:00;62661.391;12073.369;50588.022
2023-07-03 12:00:00;61553.865;23060.715;38493.150
2023-07-03 13:00:00;51297.490;25222.984;26074.507
2023-07-03 14:00:00;52101.979;25730.973;26371.006
2023-07-03 15:00:00;37818.008;22163.763;15654.245
2023-07-03 16:00:00;41452.636;13352.143;28100.494
2023-07-03 17:00:00;37682.698;3314.499;34368.198
2023-07-03 18:00:00;36230.311;161.016;36069.295
2023-07-03 19:00:00;33345.040;0.000;33345.040
2023-07-03 20:00:00;31774.521;0.000;31774.521
2023-07-03 21:00:00;32127.716;0.000;32127.716
2023-07-03 22:00:00;32458.273;0.000;32458.273
2023-07-03 23:00:00;31897.353;0.000;31897.353
2023-07-04 00:00:00;32218.596;0.000;32218.596
2023-07-04 01:00:00;32090.110;0.000;32090.110
2023-07-04 02:00:00;31591.236;0.000;31591.236
2023-07-04 03:00:00;32747.608;0.000;32747.608
2023-07-04 04:00:00;31091.182;0.000;31091.182
2023-07-04 05:00:00;31149.898;0.000;31149.898
2023-07-04 06:00:00;31619.273;0.000;31619.273
2023-07-04 07:00:00;32436.847;0.000;32436.847
2023-07-04 08:00:00;38583.613;2.668;38580.945
2023-07-04 09:00:00;42854.468;2120.923;40733.545
2023-07-04 10:00:00;44559.454;6809.253;37750.202
2023-07-04 11:00:00;42950.182;15437.737;27512.445
2023-07-04 12:00:00;41838.119;24222.364;17615.755
2023-07-04 13:00:00;43740.045;26337.476;17402.569
2023-07-04 14:00:00;42637.274;27231.506;15405.768
2023-07-04 15:00:00;43538.196;24323.371;19214.825
2023-07-04 16:00:00;37027.119;15108.204;21918.915
2023-07-04 17:00:00;33025.660;4075.388;28950.272
2023-07-04 18:00:00;31398.161;334.790;31063.371
2023-07-04 19:00:00;31839.258;0.000;31839.258
2023-07-04 20:00:00;31784.181;0.000;31784.181
2023-07-04 21:00:00;29369.600;0.000;29369.600
2023-07-04 22:00:00;;;
2023-07-04 23:00:00;35659.451;0.000;35659.451
2023-07-05 00:00:00;31811.849;0.000;31811.849
2023-07-05 01:00:00;31349.124;0.000;31349.124
2023-07-05 02:00:00;31310.603;0.000;31310.603
2023-07-05 03:00:00;31650.505;0.000;31650.505
2023-07-05 04:00:00;31930.628;0.000;31930.628
2023-07-05 05:00:00;30995.329;0.000;30995.329
2023-07-05 06:00:00;31295.920;0.000;31295.920
2023-07-05 07:00:00;32810.331;0.000;32810.331
2023-07-05 08:00:00;42571.000;0.065;42570.935
2023-07-05 09:00:00;42512.620;1351.953;41160.667
2023-07-05 10:00:00;42391.846;6674.984;35716.862
2023-07-05 11:00:00;43237.099;13636.691;29600.408
2023-07-05 12:00:00;41922.793;20472.653;21450.141
2023-07-05 13:00:00;41762.227;25994.178;15768.049
2023-07-05 14:00:00;42502.735;27975.994;14526.741
2023-07-05 15:00:00;40577.462;23814.284;16763.178
2023-07-05 16:00:00;39395.455;13750.919;25644.536
2023-07-05 17:00:00;44388.339;3410.417;40977.922
2023-07-05 18:00:00;39559.262;614.355;38944.907
2023-07-05 19:00:00;36891.347;0.000;36891.347
2023-07-05 20:00:00;31009.058;0.000;31009.058
2023-07-05 21:00:00;30932.784;0.000;30932.784
2023-07-05 22:00:00;30260.269;0.000;30260.269
2023-07-05 23:00:00;30721.712;0.000;30721.712
2023-07-06 00:00:00;30785.135;0.000;30785.135
2023-07-06 01:00:00;31179.346;0.000;31179.346
2023-07-06 02:00:00;29985.258;0.000;29985.258
2023-07-06 03:00:00;30907.303;0.000;30907.303
2023-07-06 04:00:00;29547.913;0.000;29547.913
2023-07-06 05:00:00;29506.049;0.000;29506.049
2023-07-06 06:00:00;29722.472;0.000;29722.472
2023-07-06 07:00:00;32153.635;0.000;32153.635
2023-07-06 08:00:00;39365.073;0.000;39365.073
2023-07-06 09:00:00;43745.880;1613.875;42132.005
2023-07-06 10:00:00;42658.927;6423.352;36235.575
2023-07-06 11:00:00;42213.941;13477.749;28736.192
2023-07-06 12:00:00;41194.409;20151.793;21042.616
2023-07-06 13:00:00;41653.946;20246.712;21407.234
2023-07-06 14:00:00;41287.427;20639.461;20647.966
2023-07-06 15:00:00;42509.325;14346.673;28162.652
2023-07-06 16:00:00;41960.154;10059.189;31900.965
2023-07-06 17:00:00;41940.428;4850.315;37090.113
2023-07-06 18:00:00;42615.654;618.197;41997.457
2023-07-06 19:00:00;40924.469;0.000;40924.469
2023-07-06 20:00:00;36311.933;0.000;36311.933
2023-07-06 21:00:00;30920.121;0.000;30920.121
2023-07-06 22:00:00;30956.537;0.000;30956.537
2023-07-06 23:00:00;30305.449;0.000;30305.449
2023-07-07 00:00:00;30319.974;0.000;30319.974
2023-07-07 01:00:00;30662.458;0.000;30662.458
2023-07-07 02:00:00;30424.445;0.000;30424.445
2023-07-07 03:00:00;30223.580;0.000;30223.580
2023-07-07 04:00:00;29239.301;0.000;29239.301
2023-07-07 05:00:00;30057.130;0.000;30057.130
2023-07-07 06:00:00;28585.279;0.000;28585.279
2023-07-07 07:00:00;30351.277;0.000;30351.277
2023-07-07 08:00:00;40143.328;0.000;40143.328
2023-07-07 09:00:00;44686.600;7.700;44678.900
2023-07-07 10:00:00;39539.642;431.540;39108.102
2023-07-07 11:00:00;39122.712;362.877;38759.835
2023-07-07 12:00:00;;;
2023-07-07 13:00:00;41513.036;1018.853;40494.183
2023-07-07 14:00:00;39211.908;2341.375;36870.533
2023-07-07 15:00:00;35896.040;3056.773;32839.267
2023-07-07 16:00:00;33333.033;288.231;33044.802
2023-07-07 17:00:00;30182.685;304.511;29878.174
2023-07-07 18:00:00;30735.157;11.064;30724.093
2023-07-07 19:00:00;29652.940;0.000;29652.940
2023-07-07 20:00:00;29989.676;0.000;29989.676
2023-07-07 21:00:00;30483.860;0.000;30483.860
2023-07-07 22:00:00;30828.793;0.000;30828.793
2023-07-07 23:00:00;31137.105;0.000;31137.105
2023-07-08 00:00:00;31415.765;0.000;31415.765
2023-07-08 01:00:00;31251.179;0.000;31251.179
2023-07-08 02:00:00;31100.493;0.000;31100.493
2023-07-08 03:00:00;31047.641;0.000;31047.641
2023-07-08 04:00:00;29740.066;0.000;29740.066
2023-07-08 05:00:00;30209.217;0.000;30209.217
2023-07-08 06:00:00;29984.585;0.000;29984.585
2023-07-08 07:00:00;29507.116;0.000;29507.116
2023-07-08 08:00:00;29227.109;0.000;29227.109
2023-07-08 09:00:00;28110.597;2339.332;25771.266
2023-07-08 10:00:00;28558.881;8711.174;19847.707
2023-07-08 11:00:00;28781.992;12259.754;16522.238
2023-07-08 12:00:00;28205.321;17369.216;10836.105
2023-07-08 13:00:00;28367.748;21817.167;6550.580
2023-07-08 14:00:00;27802.630;17116.734;10685.895
2023-07-08 15:00:00;28332.759;17459.766;10872.993
2023-07-08 16:00:00;27166.829;10892.716;16274.113
2023-07-08 17:00:00;25107.558;3068.449;22039.109
2023-07-08 18:00:00;25734.389;365.991;25368.398
2023-07-08 19:00:00;28966.945;0.000;28966.945
2023-07-08 20:00:00;;;
2023-07-08 21:00:00;34873.680;0.000;34873.680
2023-07-08 22:00:00;32424.807;0.000;32424.807
2023-07-08 23:00:00;32392.530;0.000;32392.530
2023-07-09 00:00:00;30652.898;0.000;30652.898
2023-07-09 01:00:00;30603.584;0.000;30603.584
2023-07-09 02:00:00;30247.182;0.000;30247.182
2023-07-09 03:00:00;30303.591;0.000;30303.591
2023-07-09 04:00:00;29820.625;0.000;29820.625
2023-07-09 05:00:00;28819.810;0.000;28819.810
2023-07-09 06:00:00;29222.581;0.000;29222.581
2023-07-09 07:00:00;28606.726;0.000;28606.726
2023-07-09 08:00:00;28280.686;0.000;28280.686
2023-07-09 09:00:00;27278.638;1983.961;25294.677
2023-07-09 10:00:00;27595.758;7558.634;20037.125
2023-07-09 11:00:00;27440.269;12449.069;14991.201
2023-07-09 12:00:00;28331.194;14451.950;13879.245
2023-07-09 13:00:00;27723.797;17384.023;10339.773
2023-07-09 14:00:00;27887.668;19641.667;8246.002
2023-07-09 15:00:00;27843.369;19140.602;8702.767
2023-07-09 16:00:00;27152.315;7240.900;19911.415
2023-07-09 17:00:00;24683.713;3543.623;21140.090
2023-07-09 18:00:00;25261.996;344.621;24917.375
2023-07-09 19:00:00;30072.690;0.000;30072.690
2023-07-09 20:00:00;31242.886;0.000;31242.886
2023-07-09 21:00:00;30530.524;0.000;30530.524
2023-07-09 22:00:00;30844.364;0.000;30844.364
2023-07-09 23:00:00;30387.326;0.000;30387.326
2023-07-10 00:00:00;30316.800;0.000;30316.800
2023-07-10 01:00:00;30476.106;0.000;30476.106
2023-07-10 02:00:00;30288.553;0.000;30288.553
2023-07-10 03:00:00;30050.519;0.000;30050.519
2023-07-10 04:00:00;28990.427;0.000;28990.427
2023-07-10 05:00:00;28653.148;0.000;28653.148
2023-07-10 06:00:00;28863.130;0.000;28863.130
2023-07-10 07:00:00;30124.455;0.000;30124.455
2023-07-10 08:00:00;41910.634;1.894;41908.741
2023-07-10 09:00:00;40779.064;919.701;39859.364
2023-07-10 10:00:00;42583.189;6207.163;36376.027
2023-07-10 11:00:00;60863.103;17009.938;43853.166
2023-07-10 12:00:00;46725.539;24714.423;22011.117
2023-07-10 13:00:00;43244.498;27436.574;15807.924
2023-07-10 14:00:00;41732.566;29217.520;12515.046
2023-07-10 15:00:00;77837.280;25718.456;52118.824
2023-07-10 16:00:00;90386.027;16401.315;73984.712
2023-07-10 17:00:00;84733.298;8513.615;76219.683
2023-07-10 18:00:00;;;
2023-07-10 19:00:00;79204.179;0.000;79204.179
2023-07-10 20:00:00;73934.723;0.000;73934.723
2023-07-10 21:00:00;68416.486;0.000;68416.486
2023-07-10 22:00:00;48740.959;0.000;48740.959
2023-07-10 23:00:00;44724.813;0.000;44724.813
2023-07-11 00:00:00;44824.581;0.000;44824.581
2023-07-11 01:00:00;47400.240;0.000;47400.240
2023-07-11 02:00:00;;;
2023-07-11 03:00:00;49591.341;0.000;49591.341
2023-07-11 04:00:00;68273.369;0.000;68273.369
2023-07-11 05:00:00;68290.739;0.000;68290.739
2023-07-11 06:00:00;68538.885;0.000;68538.885
2023-07-11 07:00:00;69979.966;0.000;69979.966
2023-07-11 08:00:00;78546.534;2.995;78543.539
2023-07-11 09:00:00;77144.160;92.850;77051.310
2023-07-11 10:00:00;;;
2023-07-11 11:00:00;76607.096;17520.867;59086.229
2023-07-11 12:00:00;67780.365;24226.458;43553.907
2023-07-11 13:00:00;68527.954;26223.855;42304.099
2023-07-11 14:00:00;65877.398;27665.993;38211.405
2023-07-11 15:00:00;70191.376;23688.031;46503.345
2023-07-11 16:00:00;54236.410;15116.496;39119.914
2023-07-11 17:00:00;52084.864;4041.649;48043.215
2023-07-11 18:00:00;43375.647;243.341;43132.307
2023-07-11 19:00:00;39453.088;0.000;39453.088
2023-07-11 20:00:00;38557.826;0.000;38557.826
2023-07-11 21:00:00;39244.644;0.000;39244.644
2023-07-11 22:00:00;39556.177;0.000;39556.177
