Timestamp;UCT - DSchool - Basics - UCT - DSchool Load Power [W] - P_LOAD;UCT - DSchool - Basics - UCT - DSchool Solar [W] - P_SOLAR;UCT - DSchool - Basics - UCT - DSchool Incomer Power [W] - P_INCOMER
2023-08-01 00:00:00;;;
2023-08-01 00:05:00;;;34722.570
2023-08-01 00:10:00;;;41126.268
2023-08-01 00:15:00;;;51067.200
2023-08-01 00:20:00;;;55993.766
2023-08-01 00:25:00;;;56916.996
2023-08-01 00:30:00;;;53669.546
2023-08-01 00:35:00;;;50683.710
2023-08-01 00:40:00;;;50227.726
2023-08-01 00:45:00;;;50241.364
2023-08-01 00:50:00;;;51698.788
2023-08-01 00:55:00;;;48797.880
2023-08-01 01:00:00;;;44390.710
2023-08-01 01:05:00;;;45597.504
2023-08-01 01:10:00;;;41959.272
2023-08-01 01:15:00;;;46969.544
2023-08-01 01:20:00;;;41964.758
2023-08-01 01:25:00;;;46291.856
2023-08-01 01:30:00;;;43319.908
2023-08-01 01:35:00;;;46278.846
2023-08-01 01:40:00;;;44606.342
2023-08-01 01:45:00;;;45195.582
2023-08-01 01:50:00;;;43131.520
2023-08-01 01:55:00;;;47292.456
2023-08-01 02:00:00;;;41217.896
2023-08-01 02:05:00;;;47184.450
2023-08-01 02:10:00;;;44072.452
2023-08-01 02:15:00;;;43863.424
2023-08-01 02:20:00;;;44698.318
2023-08-01 02:25:00;;;44624.906
2023-08-01 02:30:00;;;45058.180
2023-08-01 02:35:00;;;46090.730
2023-08-01 02:40:00;;;44277.824
2023-08-01 02:45:00;;;44941.200
2023-08-01 02:50:00;;;47640.428
2023-08-01 02:55:00;;;56004.302
2023-08-01 03:00:00;;;73426.572
2023-08-01 03:05:00;;;77243.602
2023-08-01 03:10:00;;;72830.534
2023-08-01 03:15:00;;;58293.466
2023-08-01 03:20:00;;;60470.166
2023-08-01 03:25:00;;;60023.646
2023-08-01 03:30:00;;;55391.818
2023-08-01 03:35:00;;;54312.322
2023-08-01 03:40:00;;;54512.408
2023-08-01 03:45:00;;;54280.834
2023-08-01 03:50:00;;;50123.908
2023-08-01 03:55:00;;;56212.556
2023-08-01 04:00:00;;;51325.506
2023-08-01 04:05:00;;;52699.356
2023-08-01 04:10:00;;;54013.294
2023-08-01 04:15:00;;;49331.468
2023-08-01 04:20:00;;;52862.624
2023-08-01 04:25:00;;;53392.430
2023-08-01 04:30:00;;;53790.418
2023-08-01 04:35:00;;;53184.700
2023-08-01 04:40:00;;;51166.770
2023-08-01 04:45:00;;;54777.634
2023-08-01 04:50:00;;;54629.500
2023-08-01 04:55:00;;;51212.222
2023-08-01 05:00:00;;;54968.454
2023-08-01 05:05:00;;;50400.502
2023-08-01 05:10:00;;;55994.458
2023-08-01 05:15:00;;;52948.952
2023-08-01 05:20:00;;;52280.564
2023-08-01 05:25:00;;;51577.262
2023-08-01 05:30:00;;;54655.926
2023-08-01 05:35:00;;;53671.886
2023-08-01 05:40:00;;;54508.378
2023-08-01 05:45:00;;;53386.600
2023-08-01 05:50:00;;;52923.826
2023-08-01 05:55:00;;;52354.836
2023-08-01 06:00:00;;;51944.052
2023-08-01 06:05:00;;;52863.070
2023-08-01 06:10:00;;;53984.722
2023-08-01 06:15:00;;;53513.724
2023-08-01 06:20:00;;;52914.678
2023-08-01 06:25:00;;;51211.420
2023-08-01 06:30:00;;;52741.242
2023-08-01 06:35:00;;;53540.976
2023-08-01 06:40:00;;;54737.206
2023-08-01 06:45:00;;;55185.926
2023-08-01 06:50:00;;;54746.472
2023-08-01 06:55:00;;;55820.314
2023-08-01 07:00:00;;;58788.398
2023-08-01 07:05:00;;;57476.212
2023-08-01 07:10:00;;;56236.832
2023-08-01 07:15:00;;;56879.116
2023-08-01 07:20:00;60949.186;0.000;60949.186
2023-08-01 07:25:00;63049.090;0.000;63049.090
2023-08-01 07:30:00;62007.758;0.000;62007.758
2023-08-01 07:35:00;63674.144;0.000;63674.144
2023-08-01 07:40:00;61143.654;0.000;61143.654
2023-08-01 07:45:00;59505.090;0.000;59505.090
2023-08-01 07:50:00;60843.844;0.000;60843.844
2023-08-01 07:55:00;61593.168;0.000;61593.168
2023-08-01 08:00:00;62181.032;0.000;62181.032
2023-08-01 08:05:00;67032.180;0.000;67032.180
2023-08-01 08:10:00;64233.428;0.000;64233.428
2023-08-01 08:15:00;63019.054;0.000;63019.054
2023-08-01 08:20:00;61379.180;0.000;61379.180
2023-08-01 08:25:00;60185.578;0.000;60185.578
2023-08-01 08:30:00;14528.612;0.000;14528.612
2023-08-01 08:35:00;40589.340;0.000;40589.340
2023-08-01 08:40:00;59282.304;0.000;59282.304
2023-08-01 08:45:00;64770.066;0.000;64770.066
