Timestamp;UCT - DSchool - Basics - UCT - DSchool Load Power [W] - P_LOAD;UCT - DSchool - Basics - UCT - DSchool Solar [W] - P_SOLAR;UCT - DSchool - Basics - UCT - DSchool Incomer Power [W] - P_INCOMER
2023-08-02 00:00:00;;;47818.968
2023-08-02 00:05:00;;;48454.662
2023-08-02 00:10:00;;;50238.918
2023-08-02 00:15:00;;;53300.698
2023-08-02 00:20:00;;;49774.124
2023-08-02 00:25:00;;;48757.376
2023-08-02 00:30:00;;;48551.864
2023-08-02 00:35:00;;;49305.512
2023-08-02 00:40:00;;;48627.748
2023-08-02 00:45:00;;;48688.546
2023-08-02 00:50:00;;;48957.116
2023-08-02 00:55:00;;;49207.632
2023-08-02 01:00:00;;;48079.744
2023-08-02 01:05:00;;;48811.510
2023-08-02 01:10:00;;;48515.114
2023-08-02 01:15:00;;;49573.628
2023-08-02 01:20:00;;;49414.938
2023-08-02 01:25:00;;;49043.170
2023-08-02 01:30:00;;;49437.414
2023-08-02 01:35:00;;;48736.820
2023-08-02 01:40:00;;;48841.448
2023-08-02 01:45:00;;;50611.222
2023-08-02 01:50:00;;;48740.416
2023-08-02 01:55:00;;;49269.434
2023-08-02 02:00:00;;;49064.630
2023-08-02 02:05:00;;;49051.948
2023-08-02 02:10:00;;;49167.570
2023-08-02 02:15:00;;;49093.198
2023-08-02 02:20:00;;;48248.454
2023-08-02 02:25:00;;;53904.014
2023-08-02 02:30:00;;;49507.044
2023-08-02 02:35:00;;;50218.342
2023-08-02 02:40:00;;;49595.916
2023-08-02 02:45:00;;;49140.136
2023-08-02 02:50:00;;;50126.456
2023-08-02 02:55:00;;;49384.388
2023-08-02 03:00:00;;;49716.220
2023-08-02 03:05:00;;;48791.568
2023-08-02 03:10:00;;;49895.628
2023-08-02 03:15:00;;;49139.270
2023-08-02 03:20:00;;;49332.134
2023-08-02 03:25:00;;;48925.024
2023-08-02 03:30:00;;;51766.330
2023-08-02 03:35:00;;;49699.522
2023-08-02 03:40:00;;;48692.906
2023-08-02 03:45:00;;;49365.966
2023-08-02 03:50:00;;;52592.562
2023-08-02 03:55:00;;;49035.394
2023-08-02 04:00:00;;;48669.826
2023-08-02 04:05:00;;;48588.860
2023-08-02 04:10:00;;;
2023-08-02 04:15:00;;;
2023-08-02 04:20:00;;;
