Timestamp;UCT - DSchool - Basics - UCT - DSchool Load Power [W] - P_LOAD;UCT - DSchool - Basics - UCT - DSchool Solar [W] - P_SOLAR;UCT - DSchool - Basics - UCT - DSchool Incomer Power [W] - P_INCOMER
2023-07-01 00:00:00;46863.500;0.000;46863.500
2023-07-01 00:05:00;44516.492;0.000;44516.492
2023-07-01 00:10:00;45027.650;0.000;45027.650
2023-07-01 00:15:00;45612.860;0.000;45612.860
2023-07-01 00:20:00;47447.010;0.000;47447.010
2023-07-01 00:25:00;45894.656;0.000;45894.656
2023-07-01 00:30:00;45310.406;0.000;45310.406
2023-07-01 00:35:00;48034.246;0.000;48034.246
2023-07-01 00:40:00;48289.068;0.000;48289.068
2023-07-01 00:45:00;48066.872;0.000;48066.872
2023-07-01 00:50:00;47564.604;0.000;47564.604
2023-07-01 00:55:00;48705.228;0.000;48705.228
2023-07-01 01:00:00;49112.768;0.000;49112.768
2023-07-01 01:05:00;48362.416;0.000;48362.416
2023-07-01 01:10:00;43216.178;0.000;43216.178
2023-07-01 01:15:00;48213.062;0.000;48213.062
2023-07-01 01:20:00;48248.702;0.000;48248.702
2023-07-01 01:25:00;47997.874;0.000;47997.874
2023-07-01 01:30:00;47944.924;0.000;47944.924
2023-07-01 01:35:00;49349.298;0.000;49349.298
2023-07-01 01:40:00;50254.356;0.000;50254.356
2023-07-01 01:45:00;48828.686;0.000;48828.686
2023-07-01 01:50:00;48860.026;0.000;48860.026
2023-07-01 01:55:00;48961.168;0.000;48961.168
2023-07-01 02:00:00;48408.938;0.000;48408.938
2023-07-01 02:05:00;48726.528;0.000;48726.528
2023-07-01 02:10:00;48050.278;0.000;48050.278
2023-07-01 02:15:00;49695.826;0.000;49695.826
2023-07-01 02:20:00;48699.728;0.000;48699.728
2023-07-01 02:25:00;48636.776;0.000;48636.776
2023-07-01 02:30:00;47847.016;0.000;47847.016
2023-07-01 02:35:00;45443.620;0.000;45443.620
2023-07-01 02:40:00;45603.948;0.000;45603.948
2023-07-01 02:45:00;47532.334;0.000;47532.334
2023-07-01 02:50:00;47993.674;0.000;47993.674
2023-07-01 02:55:00;47714.442;0.000;47714.442
2023-07-01 03:00:00;48575.724;0.000;48575.724
2023-07-01 03:05:00;47205.316;0.000;47205.316
2023-07-01 03:10:00;47784.380;0.000;47784.380
2023-07-01 03:15:00;47611.838;0.000;47611.838
2023-07-01 03:20:00;48501.852;0.000;48501.852
2023-07-01 03:25:00;48029.508;0.000;48029.508
2023-07-01 03:30:00;48165.334;0.000;48165.334
2023-07-01 03:35:00;48447.358;0.000;48447.358
2023-07-01 03:40:00;47821.570;0.000;47821.570
2023-07-01 03:45:00;48079.274;0.000;48079.274
2023-07-01 03:50:00;48039.556;0.000;48039.556
2023-07-01 03:55:00;48562.590;0.000;48562.590
2023-07-01 04:00:00;49519.992;0.000;49519.992
2023-07-01 04:05:00;48940.852;0.000;48940.852
2023-07-01 04:10:00;47185.556;0.000;47185.556
2023-07-01 04:15:00;43936.546;0.000;43936.546
2023-07-01 04:20:00;47818.252;0.000;47818.252
2023-07-01 04:25:00;48452.464;0.000;48452.464
2023-07-01 04:30:00;48303.576;0.000;48303.576
2023-07-01 04:35:00;47729.600;0.000;47729.600
2023-07-01 04:40:00;48646.400;0.000;48646.400
2023-07-01 04:45:00;47865.468;0.000;47865.468
2023-07-01 04:50:00;48313.138;0.000;48313.138
2023-07-01 04:55:00;48019.860;0.000;48019.860
2023-07-01 05:00:00;48078.314;0.000;48078.314
2023-07-01 05:05:00;48044.562;0.000;48044.562
2023-07-01 05:10:00;48029.106;0.000;48029.106
2023-07-01 05:15:00;47771.148;0.000;47771.148
2023-07-01 05:20:00;48526.594;0.000;48526.594
2023-07-01 05:25:00;47965.028;0.000;47965.028
2023-07-01 05:30:00;48364.228;0.000;48364.228
2023-07-01 05:35:00;46370.338;0.000;46370.338
2023-07-01 05:40:00;46567.952;0.000;46567.952
2023-07-01 05:45:00;48428.912;0.000;48428.912
2023-07-01 05:50:00;47965.592;0.000;47965.592
2023-07-01 05:55:00;48199.724;0.000;48199.724
2023-07-01 06:00:00;48032.368;0.000;48032.368
2023-07-01 06:05:00;47607.462;0.000;47607.462
2023-07-01 06:10:00;48193.958;0.000;48193.958
2023-07-01 06:15:00;48390.514;0.000;48390.514
2023-07-01 06:20:00;48083.600;0.000;48083.600
2023-07-01 06:25:00;48246.190;0.000;48246.190
2023-07-01 06:30:00;48070.426;0.000;48070.426
2023-07-01 06:35:00;48321.290;0.000;48321.290
2023-07-01 06:40:00;48136.282;0.000;48136.282
2023-07-01 06:45:00;47504.708;0.000;47504.708
2023-07-01 06:50:00;48159.808;0.000;48159.808
2023-07-01 06:55:00;47560.872;0.000;47560.872
2023-07-01 07:00:00;48181.454;0.000;48181.454
2023-07-01 07:05:00;47335.590;0.000;47335.590
2023-07-01 07:10:00;46908.010;0.000;46908.010
2023-07-01 07:15:00;47476.740;0.000;47476.740
2023-07-01 07:20:00;47142.546;0.000;47142.546
2023-07-01 07:25:00;46676.778;0.000;46676.778
2023-07-01 07:30:00;42448.750;0.000;42448.750
2023-07-01 07:35:00;47583.922;0.000;47583.922
2023-07-01 07:40:00;47067.684;0.000;47067.684
2023-07-01 07:45:00;48060.672;0.000;48060.672
2023-07-01 07:50:00;47076.050;0.000;47076.050
2023-07-01 07:55:00;47578.176;0.000;47578.176
2023-07-01 08:00:00;47248.358;0.694;47247.664
2023-07-01 08:05:00;47344.074;44.496;47299.578
2023-07-01 08:10:00;47858.858;52.696;47806.162
2023-07-01 08:15:00;47101.608;92.680;47008.928
2023-07-01 08:20:00;47457.604;150.832;47306.772
2023-07-01 08:25:00;46923.500;256.952;46666.548
2023-07-01 08:30:00;46801.596;300.726;46500.870
2023-07-01 08:35:00;47106.436;284.770;46821.666
2023-07-01 08:40:00;48047.092;375.688;47671.404
2023-07-01 08:45:00;47135.388;816.192;46319.196
2023-07-01 08:50:00;47016.072;984.830;46031.242
2023-07-01 08:55:00;46136.218;1166.732;44969.486
2023-07-01 09:00:00;47020.962;1385.806;45635.156
2023-07-01 09:05:00;46121.338;2230.430;43890.908
2023-07-01 09:10:00;46042.880;2530.192;43512.688
2023-07-01 09:15:00;46949.242;2831.164;44118.078
2023-07-01 09:20:00;47268.658;3347.812;43920.846
2023-07-01 09:25:00;47141.210;3955.100;43186.110
2023-07-01 09:30:00;46623.356;4486.016;42137.340
2023-07-01 09:35:00;46528.980;5508.212;41020.768
